"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"RI","","2012",4,115.2,,,"44","44",
"RI","Newport","2012",7,143.69,3.5598404255,6692.5,"44005","44","005"
"RI","Bristol","2012",3,12.87,,,"44005","44","005"
"RI","Kent","2012",2,299.95,4.64,580000,"44081","44","081"
"LA","Jefferson","2012",21,86.1,,,"22059","22","059"
"CT","","2012",674,5756.8,5.3964812030075188,30067739.58,"09","09",
"CT","Windham","2012",52,343.327,5.5127997992489362,1697869.57,"09025","09","025"
"PA","Philadelphia","2012",48,1318.712,5.6989325843425532,1709205.3,"42101","42","101"
"WI","Oneida","2012",2,17.28,4.8424537037,83720,"55085","55","085"
"WI","Outagamie","2012",10,80.14,5.39323081379,439819,"55087","55","087"
"WI","Ozaukee","2012",7,65.36,6.8527884722857143,367918,"55089","55","089"
"WI","Pierce","2012",3,19.5,4.6784197531,90896,"55093","55","093"
"WI","Polk","2012",5,26.74,6.96930666216,165097.94,"55095","55","095"
"MO","St. Louis City","2012",13,342.05,4.895,129873,"29189","29","189"
"MD","Baltimore City","2012",7,20.705,7.2658423423428571,134037,"24510","24","510"
"MA","Hampden","2012",241,6259.443,5.2564761222958333,27861783.42,"25013","25","013"
"MA","Berkshire","2012",205,6351.665,4.9611269578965517,19301723.63,"25003","25","003"
"WI","Portage","2012",21,196.652,5.6353283867952381,996511.34,"55097","55","097"
"WI","Price","2012",2,5.76,7.1190277778,41000,"55099","55","099"
"WI","Racine","2012",3,11.3,7.0389181286666667,74952,"55101","55","101"
"WI","Richland","2012",9,119.94,5.1118390762555556,701644.33,"55079","55","079"
"WI","Rock","2012",2,10.4,4.56076923075,47440,"55105","55","105"
"LA","Orleans","2012",180,738,,,"22019","22","019"
"LA","Tangipahoa","2012",2,8.2,,,"22105","22","105"
"LA","St. Bernard","2012",2,8.2,,,"22087","22","087"
"CT","Tolland","2012",44,566.34,5.2896496034571429,3042017.56,"09013","09","013"
"CT","New London","2012",75,478.723,5.3023194408,2332464.78,"09011","09","011"
"CT","New Haven","2012",93,653.073,5.0060077542214286,2895188.06,"09009","09","009"
"CT","Litchfield","2012",55,366.679,5.2392493863568627,1777156.31,"09005","09","005"
"CT","Hartford","2012",120,934.474,4.9397861214198198,4407174.78,"09005","09","005"
"CO","Denver","2012",26,97.11,4.2966666666666667,39731.5,"08031","08","031"
"CA","San Francisco","2012",1131,4632.79,7.881663391479664,29270816.93,"06075","06","075"
"RI","Providence","2012",27,446.27,,,"44007","44","007"
"LA","St. Tammany","2012",2,8.2,,,"22103","22","103"
"AZ","Apache","2012",35,1365.36,6.2305848695257143,10022515,"04001","04","001"
"AZ","Cochise","2012",263,3825.096,5.2773504865418502,6814319.19,"04003","04","003"
"AZ","Coconino","2012",220,3335.806,5.2782830716141463,11997355.86,"04005","04","005"
"AZ","Gila","2012",217,3229.852,5.2009107711107981,12523299.74,"04007","04","007"
"AZ","Greenlee","2012",2,9.56,6.6655462185,31728,"04011","04","011"
"AZ","La Paz","2012",16,246.204,4.1386327437615385,586814.32,"04012","04","012"
"AZ","Maricopa","2012",12525,173027.417,5.179874339330662,832450778.67,"04013","04","013"
"AZ","Mohave","2012",339,3163.872,5.6711832399828402,17242580.43,"04015","04","015"
"AZ","Navajo","2012",54,2254.92,4.5743358427754717,13542939.08,"04017","04","017"
"AZ","Pima","2012",2150,27426.0943,5.3462353154563602,89282956.96,"04019","04","019"
"AZ","Pinal","2012",981,17440.856,5.2447512061834292,79813398.31,"04021","04","021"
"AZ","Santa Cruz","2012",35,474.405,6.6917836912032258,2563749.76,"04087","04","087"
"AZ","Yavapai","2012",919,14010.831,5.0470705695592423,53420119.39,"04025","04","025"
"AZ","Yuma","2012",525,339449.323,4.6777457053859213,26558825.57,"04027","04","027"
"CA","Alameda","2012",1888,26057.29,5.8593463092277542,143013192.82,"06001","06","001"
"CA","Amador","2012",31,857.925,5.6000737871516129,3828237.04,"06005","06","005"
"CA","Butte","2012",367,10354.078,5.2313940743629428,54078955.15,"06019","06","019"
"CA","Calaveras","2012",77,684.775,5.1988662323103896,3863206.4,"06009","06","009"
"CA","Colusa","2012",50,2681.438,4.821548501126,11921308.29,"06011","06","011"
"CA","Contra Costa","2012",2491,41466.182487805,5.8951065849868326,243465863.37,"06013","06","013"
"CA","El Dorado","2012",602,4194.193186059,5.3539565471857143,21000074.41,"06017","06","017"
"CA","Fresno","2012",2369,77896.5,5.4586033527310651,136486464.26,"06019","06","019"
"CA","Glenn","2012",98,2271.374,5.3404228252908163,10591966.08,"06021","06","021"
"CA","Humboldt","2012",65,438.515,5.3075936686553846,2241482.72,"06023","06","023"
"CA","Imperial","2012",20,23209.42,6.5883136208285714,935199,"06025","06","025"
"CA","Inyo","2012",17,662.471,5.1066735052529412,3478493.01,"06027","06","027"
"CA","Kern","2012",2217,42157.697728132,5.4241618647310018,189659653.61,"06029","06","029"
"CA","Kings","2012",580,61816.861,5.5502364768389948,52188235.19,"06031","06","031"
"CA","Lake","2012",100,1211.78,5.598055569519,6133617.31,"06065","06","065"
"CT","Fairfield","2012",119,910.656,5.0883831606401709,4547455.51,"09039","09","039"
"AK","Fairbanks North Star","2012",5,24.68,,,"02090","02","090"
"AK","Matanuska-Susitna","2012",2,9.17,5,20000,"02170","02","170"
"CA","Los Angeles","2012",12732,151655.555,5.8078955132191781,817152316.19,"06037","06","037"
"CT","Middlesex","2012",96,776.364,4.7717443527483871,3566535.06,"09023","09","023"
"CA","Madera","2012",271,6392.571,5.1418584667892989,26861560.12,"06039","06","039"
"CA","Marin","2012",486,3449.187,5.6011135865465021,17905468.23,"06041","06","041"
"CA","Mariposa","2012",49,294.143,5.1396843374755102,1496974.48,"06043","06","043"
"CA","Mendocino","2012",121,1857.163,5.7003120573,12107521.69,"06045","06","045"
"CA","Merced","2012",258,4002.276,5.246871643853876,18719527.7,"06047","06","047"
"CA","Modoc","2012",1,11.00310074,5.8894307642,64802,"06049","06","049"
"CA","Mono","2012",51,396.06,5.1824472912470588,2144634.96,"06051","06","051"
"CA","Monterey","2012",270,4780.739926702,5.6446181956037037,26272056.77,"06053","06","053"
"CA","Napa","2012",369,8110.458,5.3968059670276423,30320053.12,"06055","06","055"
"CA","Nevada","2012",233,2296.912,5.0344371283038793,11513300.1,"06057","06","057"
"CA","Orange","2012",3873,35642.646657106,5.9771237430895038,194595850.45,"06059","06","059"
"CA","Placer","2012",1197,7147.24457249,5.2550775773924528,36160508.24,"06061","06","061"
"CA","Plumas","2012",9,37.92,6.1297612074666667,213566.26,"06063","06","063"
"CA","Riverside","2012",4905,53840.352,5.6968193355170497,262784576.31,"06065","06","065"
"WA","Benton","2012",5,21.36,6.464,134964,"53015","53","015"
"CA","Sacramento","2012",2223,84462.73753199,5.2416800712044902,180511291.7,"06067","06","067"
"CA","San Benito","2012",67,358.941,5.7055097925089552,1986792.67,"06069","06","069"
"CA","San Bernardino","2012",3500,49033.987,5.9151731531628645,191982800.36,"06071","06","071"
"CA","San Joaquin","2012",692,8893.675,5.5696258150307803,44068807.67,"06077","06","077"
"CA","San Luis Obispo","2012",573,11139.186641042,5.4091374991253497,45031511.54,"06079","06","079"
"CA","San Mateo","2012",1090,14466.332,6.3225788282452294,78373714.08,"06081","06","081"
"CA","Santa Barbara","2012",388,5721.96,5.7842679351752577,28787381.76,"06083","06","083"
"CA","Santa Clara","2012",3581,47224.160302413,5.5854788937340039,247050845.23,"06085","06","085"
"CA","Santa Cruz","2012",327,1814.292232984,5.5550821503217125,9995348.06,"06087","06","087"
"CA","Shasta","2012",195,1969.959,5.3307993223005128,9831589.66,"06089","06","089"
"CA","Siskiyou","2012",74,1760.011115101,5.3977728246878378,8697445.22,"06093","06","093"
"CA","Solano","2012",1063,12275.94691698,5.803654867519191,69791770.41,"06095","06","095"
"CA","Sonoma","2012",722,9793.722,5.7867064354850416,51295208.59,"06097","06","097"
"CA","Stanislaus","2012",153,1939.82,5.0371914616568627,9285240.06,"06099","06","099"
"CA","Sutter","2012",126,1084.75,5.131577263102381,5232622.4,"06101","06","101"
"DC","District of Columbia","2012",288,1483.712665,5.2438416803195804,7200087.44,"11001","11","001"
"CA","Tulare","2012",1106,26055.243,5.6489807793810127,125466256.73,"06107","06","107"
"CA","Tuolumne","2012",42,708.463,5.3132573886309524,4491614.1,"06109","06","109"
"CA","Ventura","2012",1746,19615.037,5.892438287114486,115160435.87,"06111","06","111"
"CA","Washoe","2012",1,5.04,5.24,26406.04,"06031","06","031"
"CA","Yolo","2012",251,5291.601,5.786659803974502,25492524.36,"06113","06","113"
"IA","Webster","2012",2,22,3.64,40000,"19101","19","101"
"CA","Yuba","2012",106,1749.575,5.7519482388745283,7243862.2,"06115","06","115"
"CO","Adams","2012",91,1497.155,4.2077777777777778,223246.6,"08001","08","001"
"CO","Arapahoe","2012",187,1867.515,4.1955172413793103,855021.8,"08005","08","005"
"CO","Boulder","2012",38,677.66,4.15,516588.5,"08013","08","013"
"CO","Douglas","2012",61,680.285,4.1896551724137931,752209.67,"08035","08","035"
"CO","El Paso","2012",43,196.68,,,"08041","08","041"
"CO","Garfield","2012",4,30.03,4.19,65992.5,"08045","08","045"
"CO","Gilpin","2012",13,67.815,4.2966666666666667,45160.6,"08047","08","047"
"CO","Jefferson","2012",165,2762.325,4.3261538461538462,645848.7,"08059","08","059"
"CO","Lake","2012",1,116.16,,,"08065","08","065"
"CO","Larimer","2012",27,147.08,4.19,80657.5,"08069","08","069"
"CO","Mesa","2012",125,943.295,4.2117241379310345,3717702.95,"08077","08","077"
"CO","Montrose","2012",1,1124,,,"08085","08","085"
"CO","Park","2012",1,9.75,4.19,40852.5,"08093","08","093"
"CO","Pitkin","2012",1,9.31,4.19,39008.9,"08097","08","097"
"CO","Pueblo","2012",2,13.68,,,"08101","08","101"
"CO","Rio Blanco","2012",1,6.5,4.19,27235,"08103","08","103"
"CO","Summit","2012",1,9.36,,,"08043","08","043"
"CO","Weld","2012",92,651.015,,,"08123","08","123"
"DE","Kent","2012",62,1774.79,5.7407177406583333,8625468.61,"10081","10","081"
"DE","New Castle","2012",181,3074.753,5.2284539419421569,8791728.59,"10003","10","003"
"DE","Sussex","2012",259,18319.77,5.5341914996405405,59014794.02,"10037","10","037"
"FL","Alachua","2012",135,10138.993,4.4226098859976923,39962993.18,"12001","12","001"
"FL","Broward","2012",1,5.12,4.59,23500,"12011","12","011"
"FL","Gilchrist","2012",1,315,2.5,787500,"12041","12","041"
"RI","Washington","2012",14,132.965,,,"44023","44","023"
"LA","","2012",1,420,,,"22","22",
"FL","Hillsborough","2012",1,1189,,,"12011","12","011"
"FL","Lake","2012",12,78.54,,,"12065","12","065"
